frame,track_id,shape,cx,cy,area,state,confidence
0,1,pentagon,1365,773,36542,confirmed,1.0
0,2,circle,1057,191,32722,confirmed,1.0
0,3,rectangle,369,237,29956,confirmed,1.0
0,5,triangle,608,723,20829,confirmed,1.0
1,1,pentagon,1365,773,36544,confirmed,1.0
1,2,circle,1023,186,32669,confirmed,1.0
1,3,rectangle,369,237,29956,confirmed,1.0
1,5,triangle,608,723,20829,confirmed,1.0
2,1,pentagon,1365,773,36544,confirmed,1.0
2,2,circle,977,184,32686,confirmed,1.0
2,3,rectangle,369,237,29956,confirmed,1.0
2,4,trapezoid,1749,431,27773,confirmed,0.0
2,5,triangle,608,723,20829,confirmed,1.0
3,1,pentagon,1365,773,36544,confirmed,1.0
3,2,circle,931,188,32685,confirmed,1.0
3,3,rectangle,369,237,29956,confirmed,1.0
3,4,trapezoid,1761,468,27476,confirmed,0.0
3,5,triangle,608,723,20829,confirmed,1.0
4,1,pentagon,1365,773,36544,confirmed,1.0
4,2,circle,888,198,32701,confirmed,1.0
4,3,rectangle,369,237,29956,confirmed,1.0
4,4,hexagon,1773,508,22386,confirmed,0.0
4,5,triangle,608,723,20829,confirmed,1.0
5,1,pentagon,1365,773,36544,confirmed,1.0
5,2,circle,855,215,32672,confirmed,1.0
5,3,rectangle,369,237,29956,confirmed,1.0
5,4,trapezoid,1785,556,27400,confirmed,0.0
5,5,triangle,608,723,20829,confirmed,1.0
6,1,pentagon,1365,773,36544,confirmed,1.0
6,2,circle,831,236,32677,confirmed,1.0
6,3,rectangle,369,237,29956,confirmed,1.0
6,4,trapezoid,1798,603,28704,confirmed,0.0
6,5,triangle,608,723,20829,confirmed,1.0
7,1,pentagon,1365,773,36544,confirmed,1.0
7,2,circle,810,259,32661,confirmed,1.0
7,3,rectangle,369,237,29956,confirmed,1.0
7,4,trapezoid,1813,649,27784,confirmed,0.0
7,5,triangle,608,723,20829,confirmed,1.0
8,1,pentagon,1365,773,36544,confirmed,1.0
8,2,circle,795,283,32660,confirmed,1.0
8,3,rectangle,369,237,29956,confirmed,1.0
8,4,trapezoid,1828,692,23595,confirmed,0.0
8,5,triangle,608,723,20830,confirmed,1.0
9,1,pentagon,1365,773,36546,confirmed,1.0
9,2,circle,781,307,32704,confirmed,1.0
9,3,rectangle,369,237,29956,confirmed,1.0
9,4,trapezoid,1839,733,23415,confirmed,0.0
9,5,triangle,608,722,20839,confirmed,1.0
10,1,pentagon,1365,773,36546,confirmed,1.0
10,2,circle,767,331,32678,confirmed,1.0
10,3,rectangle,369,237,29956,confirmed,1.0
10,4,trapezoid,1847,771,21853,confirmed,0.0
10,5,triangle,608,722,20839,confirmed,1.0
11,1,pentagon,1365,773,36546,confirmed,1.0
11,2,circle,755,355,32660,confirmed,1.0
11,3,rectangle,369,237,29956,confirmed,1.0
11,4,trapezoid,1853,807,20536,confirmed,0.0
11,5,triangle,608,722,20839,confirmed,1.0
12,1,pentagon,1365,773,36548,confirmed,1.0
12,2,circle,746,379,32687,confirmed,1.0
12,3,rectangle,369,237,29956,confirmed,1.0
12,4,trapezoid,1858,844,18003,confirmed,0.0
12,5,triangle,608,722,20846,confirmed,1.0
13,1,pentagon,1365,773,36549,confirmed,1.0
13,2,circle,738,404,32672,confirmed,1.0
13,3,rectangle,369,237,29956,confirmed,1.0
13,4,trapezoid,1863,880,15798,confirmed,0.0
13,5,triangle,608,722,20846,confirmed,1.0
14,1,pentagon,1365,773,36548,confirmed,1.0
14,2,circle,731,428,32706,confirmed,1.0
14,3,rectangle,369,237,29956,confirmed,1.0
14,4,trapezoid,1870,902,13264,confirmed,0.0
14,5,triangle,608,722,20851,confirmed,1.0
15,1,pentagon,1365,773,36547,confirmed,1.0
15,2,circle,728,453,32711,confirmed,1.0
15,3,rectangle,369,237,29956,confirmed,1.0
15,4,hexagon,1877,896,10057,confirmed,0.0
15,5,triangle,608,722,20853,confirmed,1.0
16,1,pentagon,1365,773,36552,confirmed,1.0
16,2,circle,725,478,32679,confirmed,1.0
16,3,rectangle,369,237,29956,confirmed,1.0
16,4,pentagon,1882,869,11245,confirmed,0.0
16,5,triangle,608,722,20854,confirmed,1.0
17,1,pentagon,1365,773,36570,confirmed,1.0
17,2,circle,723,503,32664,confirmed,1.0
17,3,rectangle,369,237,29956,confirmed,1.0
17,4,pentagon,1889,829,7227,confirmed,0.0
17,5,triangle,608,722,20857,confirmed,1.0
18,1,pentagon,1365,773,36576,confirmed,1.0
18,2,circle,723,528,32658,confirmed,1.0
18,3,rectangle,369,237,29956,confirmed,1.0
18,4,pentagon,1895,805,7227,coasting,0.0
18,5,triangle,608,722,20867,confirmed,1.0
19,1,pentagon,1365,773,36581,confirmed,1.0
19,2,circle,724,552,32647,confirmed,1.0
19,3,rectangle,369,237,29956,confirmed,1.0
19,4,pentagon,1901,783,7227,coasting,0.0
19,5,triangle,608,722,20860,confirmed,1.0
20,1,pentagon,1365,773,36597,confirmed,1.0
20,2,circle,726,577,32665,confirmed,1.0
20,3,rectangle,369,237,29956,confirmed,1.0
20,4,pentagon,1906,764,7227,coasting,0.0
20,5,triangle,608,722,20857,confirmed,1.0
21,1,pentagon,1365,773,36614,confirmed,1.0
21,2,circle,728,602,32667,confirmed,1.0
21,3,rectangle,368,237,29975,confirmed,1.0
21,4,pentagon,1911,746,7227,coasting,0.0
21,5,triangle,608,723,20767,confirmed,1.0
22,1,pentagon,1365,773,36620,confirmed,1.0
22,2,circle,729,627,32676,confirmed,1.0
22,3,rectangle,368,237,29975,confirmed,1.0
22,4,pentagon,1915,730,7227,coasting,0.0
22,5,triangle,608,723,19874,confirmed,1.0
23,1,pentagon,1365,773,36538,confirmed,1.0
23,2,circle,730,652,32664,confirmed,1.0
23,3,rectangle,368,237,29975,confirmed,1.0
23,4,pentagon,1919,716,7227,coasting,0.0
23,5,triangle,608,723,19874,coasting,1.0
24,1,pentagon,1365,773,36543,confirmed,1.0
24,2,circle,727,677,32678,confirmed,1.0
24,3,rectangle,368,237,29975,confirmed,1.0
24,4,pentagon,1923,703,7227,coasting,0.0
24,5,triangle,608,723,19874,coasting,1.0
25,1,pentagon,1365,773,36562,confirmed,1.0
25,2,circle,720,701,32671,confirmed,1.0
25,3,rectangle,368,237,29975,confirmed,1.0
25,4,pentagon,1926,692,7227,coasting,0.0
25,5,triangle,608,723,19874,coasting,1.0
26,1,pentagon,1365,772,36569,confirmed,1.0
26,2,circle,709,725,32716,confirmed,1.0
26,3,rectangle,368,237,29975,confirmed,1.0
26,4,pentagon,1928,682,7227,coasting,0.0
26,5,triangle,608,723,19874,coasting,1.0
27,1,pentagon,1365,772,36590,confirmed,1.0
27,2,circle,686,746,32675,confirmed,1.0
27,3,rectangle,368,237,29975,confirmed,1.0
27,4,pentagon,1931,672,7227,coasting,0.0
27,5,triangle,608,724,19874,coasting,1.0
28,1,pentagon,1365,772,36602,confirmed,1.0
28,2,circle,654,763,32670,confirmed,1.0
28,3,rectangle,368,237,29975,confirmed,1.0
28,4,pentagon,1933,664,7227,coasting,0.0
28,5,triangle,608,724,19874,coasting,1.0
29,1,pentagon,1365,772,36610,confirmed,1.0
29,2,circle,624,775,36303,confirmed,1.0
29,3,rectangle,368,237,29816,confirmed,1.0
29,4,pentagon,1935,656,7227,coasting,0.0
29,5,triangle,608,724,19874,coasting,1.0
30,1,pentagon,1365,772,36613,confirmed,1.0
30,2,circle,575,784,32685,confirmed,1.0
30,3,rectangle,367,237,29808,confirmed,1.0
30,4,pentagon,1937,650,7227,coasting,0.0
30,5,triangle,608,724,19874,coasting,1.0
31,1,pentagon,1365,772,36621,confirmed,1.0
31,2,circle,530,791,32661,confirmed,1.0
31,3,rectangle,367,237,29808,confirmed,1.0
31,4,pentagon,1939,644,7227,coasting,0.0
31,5,triangle,608,724,19874,coasting,1.0
32,1,pentagon,1365,772,36667,confirmed,1.0
32,2,circle,486,794,32650,confirmed,1.0
32,3,rectangle,367,237,29808,confirmed,1.0
32,4,pentagon,1940,638,7227,coasting,0.0
32,5,triangle,608,724,19874,coasting,1.0
33,1,pentagon,1365,771,36508,confirmed,1.0
33,2,circle,444,787,32645,confirmed,1.0
33,3,rectangle,367,237,29808,confirmed,1.0
33,4,pentagon,1941,633,7227,coasting,0.0
33,5,triangle,614,720,19565,confirmed,0.957
34,1,pentagon,1365,771,36546,confirmed,1.0
34,2,circle,404,777,32709,confirmed,1.0
34,3,rectangle,367,237,29808,confirmed,1.0
34,4,pentagon,1943,629,7227,coasting,0.0
34,5,triangle,610,721,20955,confirmed,0.958
35,1,pentagon,1365,771,36562,confirmed,1.0
35,2,circle,370,760,32693,confirmed,1.0
35,3,rectangle,367,237,29808,confirmed,1.0
35,4,pentagon,1944,625,7227,coasting,0.0
35,5,triangle,609,722,20979,confirmed,0.96
36,1,pentagon,1365,771,36574,confirmed,1.0
36,2,circle,344,739,32691,confirmed,1.0
36,3,rectangle,366,237,29870,confirmed,1.0
36,4,pentagon,1945,621,7227,coasting,0.0
36,5,triangle,610,722,21000,confirmed,0.962
37,1,pentagon,1365,771,36586,confirmed,1.0
37,2,circle,324,716,32683,confirmed,1.0
37,3,rectangle,366,237,29870,confirmed,1.0
37,4,pentagon,1946,618,7227,coasting,0.0
37,5,triangle,610,722,21026,confirmed,0.963
38,1,pentagon,1365,771,36622,confirmed,1.0
38,2,circle,309,692,32718,confirmed,1.0
38,3,rectangle,366,237,29870,confirmed,1.0
38,5,triangle,610,721,20783,confirmed,0.964
39,1,pentagon,1365,771,36564,confirmed,1.0
39,2,circle,299,668,32645,confirmed,1.0
39,3,rectangle,366,237,29870,confirmed,1.0
39,5,triangle,610,721,20802,confirmed,0.966
40,1,pentagon,1365,770,36593,confirmed,1.0
40,2,circle,293,643,32680,confirmed,1.0
40,3,rectangle,365,238,29787,confirmed,1.0
40,5,triangle,610,721,20836,confirmed,0.967
41,1,pentagon,1365,770,36611,confirmed,1.0
41,2,circle,288,617,32695,confirmed,1.0
41,3,rectangle,365,238,29787,confirmed,1.0
41,5,triangle,610,721,20859,confirmed,0.968
42,1,pentagon,1365,770,36657,confirmed,1.0
42,2,circle,282,593,32680,confirmed,1.0
42,3,rectangle,365,238,29787,confirmed,1.0
42,5,triangle,611,721,20872,confirmed,0.969
43,1,pentagon,1365,769,36514,confirmed,1.0
43,2,circle,278,568,32700,confirmed,1.0
43,3,rectangle,365,238,29787,confirmed,1.0
43,5,triangle,611,721,20906,confirmed,0.97
44,1,pentagon,1365,769,36541,confirmed,1.0
44,2,circle,275,543,32662,confirmed,1.0
44,3,rectangle,364,237,29843,confirmed,1.0
44,5,triangle,611,720,20841,confirmed,0.971
45,1,pentagon,1365,769,36595,confirmed,1.0
45,2,circle,272,519,32706,confirmed,1.0
45,3,rectangle,364,237,29843,confirmed,1.0
45,5,triangle,611,720,20860,confirmed,0.971
46,1,pentagon,1365,769,36609,confirmed,1.0
46,2,circle,272,494,32679,confirmed,1.0
46,3,rectangle,364,237,29843,confirmed,1.0
46,5,triangle,611,720,20870,confirmed,0.972
47,1,pentagon,1365,769,36543,confirmed,1.0
47,2,circle,272,469,32675,confirmed,1.0
47,3,rectangle,363,237,29788,confirmed,1.0
47,5,triangle,612,720,20937,confirmed,0.973
48,1,pentagon,1365,768,36593,confirmed,1.0
48,2,circle,273,444,32655,confirmed,1.0
48,3,rectangle,363,237,29789,confirmed,1.0
48,5,triangle,612,720,20978,confirmed,0.974
49,1,pentagon,1365,768,36631,confirmed,1.0
49,2,circle,272,419,32666,confirmed,1.0
49,3,rectangle,363,235,29023,confirmed,0.978
49,5,triangle,612,720,21022,confirmed,0.974
50,1,pentagon,1365,767,36513,confirmed,1.0
50,2,circle,271,394,32679,confirmed,1.0
50,3,rectangle,365,232,27549,confirmed,0.956
50,5,triangle,612,719,20795,confirmed,0.975
51,1,pentagon,1365,767,36553,confirmed,1.0
51,2,circle,268,370,32702,confirmed,1.0
51,3,rectangle,367,230,26035,confirmed,0.956
51,5,triangle,613,719,20841,confirmed,0.976
52,1,pentagon,1365,767,36591,confirmed,1.0
52,2,circle,259,345,32659,confirmed,1.0
52,3,rectangle,368,228,24983,confirmed,0.956
52,5,triangle,613,719,20875,confirmed,0.976
53,1,pentagon,1365,767,36564,confirmed,1.0
53,2,circle,245,322,32660,confirmed,1.0
53,3,rectangle,369,227,25094,confirmed,0.956
