frame,track_id,shape,cx,cy,area,state,confidence
0,2,circle,1057,191,32658,confirmed,1.0
0,3,rectangle,369,236,29895,confirmed,1.0
0,4,trapezoid,1737,392,26995,confirmed,1.0
0,5,triangle,608,722,20765,confirmed,1.0
1,2,circle,1023,186,32665,confirmed,1.0
1,3,rectangle,369,236,29897,confirmed,1.0
1,4,trapezoid,1740,406,26820,confirmed,1.0
1,5,triangle,608,722,20765,confirmed,1.0
2,1,pentagon,1366,772,36708,confirmed,0.0
2,2,circle,977,184,32671,confirmed,1.0
2,3,rectangle,369,236,29897,confirmed,1.0
2,4,trapezoid,1747,433,19919,confirmed,1.0
2,5,triangle,608,722,20765,confirmed,1.0
3,1,pentagon,1366,772,36708,confirmed,0.0
3,2,circle,931,188,32642,confirmed,1.0
3,3,rectangle,369,236,29897,confirmed,1.0
3,4,trapezoid,1756,471,20852,confirmed,1.0
3,5,triangle,608,722,20765,confirmed,1.0
4,1,pentagon,1366,772,36708,confirmed,0.0
4,2,circle,888,198,32676,confirmed,1.0
4,3,rectangle,369,236,29897,confirmed,1.0
4,4,trapezoid,1768,514,27017,confirmed,1.0
4,5,triangle,608,722,20765,confirmed,1.0
5,1,pentagon,1366,772,36708,confirmed,0.0
5,2,circle,855,215,32644,confirmed,1.0
5,3,rectangle,369,236,29897,confirmed,1.0
5,4,trapezoid,1781,562,20949,confirmed,1.0
5,5,triangle,608,722,20765,confirmed,1.0
6,1,pentagon,1366,772,36708,confirmed,0.0
6,2,circle,831,236,32685,confirmed,1.0
6,3,rectangle,369,236,29897,confirmed,1.0
6,4,trapezoid,1796,609,28080,confirmed,1.0
6,5,triangle,608,722,20765,confirmed,1.0
7,1,pentagon,1366,772,36708,confirmed,0.0
7,2,circle,810,259,32672,confirmed,1.0
7,3,rectangle,369,236,29901,confirmed,1.0
7,4,trapezoid,1813,656,21651,confirmed,1.0
7,5,triangle,608,722,20765,confirmed,1.0
8,1,pentagon,1366,772,36708,confirmed,0.0
8,2,circle,795,283,32651,confirmed,1.0
8,3,rectangle,369,236,29901,confirmed,1.0
8,4,trapezoid,1827,697,25494,confirmed,1.0
8,5,triangle,608,722,20765,confirmed,1.0
9,1,pentagon,1366,772,36710,confirmed,0.0
9,2,circle,781,307,32647,confirmed,1.0
9,3,rectangle,369,236,29901,confirmed,1.0
9,4,trapezoid,1838,736,23755,confirmed,1.0
9,5,triangle,608,722,20765,confirmed,1.0
10,1,pentagon,1366,772,36710,confirmed,0.0
10,2,circle,767,331,32676,confirmed,1.0
10,3,rectangle,369,236,29901,confirmed,1.0
10,4,trapezoid,1847,773,21569,confirmed,1.0
10,5,triangle,608,722,20766,confirmed,1.0
11,1,pentagon,1366,772,36711,confirmed,0.0
11,2,circle,755,355,32670,confirmed,1.0
11,3,rectangle,369,236,29901,confirmed,1.0
11,4,trapezoid,1853,809,19956,confirmed,1.0
11,5,triangle,608,722,20766,confirmed,1.0
12,1,pentagon,1366,772,36709,confirmed,0.0
12,2,circle,746,379,32671,confirmed,1.0
12,3,rectangle,369,236,29901,confirmed,1.0
12,4,trapezoid,1859,844,17902,confirmed,1.0
12,5,triangle,608,722,20767,confirmed,1.0
13,1,pentagon,1366,772,36709,confirmed,0.0
13,2,circle,738,404,32645,confirmed,1.0
13,3,rectangle,369,236,29901,confirmed,1.0
13,4,trapezoid,1864,879,15515,confirmed,1.0
13,5,triangle,608,722,20767,confirmed,1.0
14,1,pentagon,1366,772,36709,confirmed,0.0
14,2,circle,731,428,32681,confirmed,1.0
14,3,rectangle,369,236,29901,confirmed,1.0
14,4,trapezoid,1870,900,13054,confirmed,1.0
14,5,triangle,608,722,20769,confirmed,1.0
15,1,pentagon,1366,772,36706,confirmed,0.0
15,2,circle,728,453,32667,confirmed,1.0
15,3,rectangle,369,236,29893,confirmed,1.0
15,4,trapezoid,1880,897,8329,confirmed,1.0
15,5,triangle,608,722,20774,confirmed,1.0
16,1,pentagon,1366,772,36706,confirmed,0.0
16,2,circle,725,478,32676,confirmed,1.0
16,3,rectangle,369,236,29893,confirmed,1.0
16,4,trapezoid,1889,872,6340,confirmed,1.0
16,5,triangle,608,722,20786,confirmed,1.0
17,1,pentagon,1366,772,36702,confirmed,0.0
17,2,circle,723,503,32657,confirmed,1.0
17,3,rectangle,369,236,29893,confirmed,1.0
17,4,trapezoid,1896,832,6437,confirmed,1.0
17,5,triangle,608,722,20787,confirmed,1.0
18,1,pentagon,1366,772,36702,confirmed,0.0
18,2,circle,723,528,32676,confirmed,1.0
18,3,rectangle,369,236,29893,confirmed,1.0
18,4,trapezoid,1903,809,6437,coasting,1.0
18,5,triangle,608,722,20795,confirmed,1.0
19,1,pentagon,1365,773,36529,confirmed,1.0
19,2,circle,724,552,32660,confirmed,1.0
19,3,rectangle,369,236,29893,confirmed,1.0
19,4,trapezoid,1910,789,6437,coasting,1.0
19,5,triangle,608,722,20808,confirmed,1.0
20,1,pentagon,1365,773,36524,confirmed,1.0
20,2,circle,726,577,32680,confirmed,1.0
20,3,rectangle,369,236,29893,confirmed,1.0
20,4,trapezoid,1917,770,6437,coasting,1.0
20,5,triangle,608,722,20815,confirmed,1.0
21,1,pentagon,1365,773,36539,confirmed,1.0
21,2,circle,728,602,32655,confirmed,1.0
21,3,rectangle,368,236,29943,confirmed,1.0
21,4,trapezoid,1922,753,6437,coasting,1.0
21,5,triangle,608,722,20733,confirmed,1.0
22,1,pentagon,1365,773,36547,confirmed,1.0
22,2,circle,713,641,52833,confirmed,1.0
22,3,rectangle,368,236,29944,confirmed,1.0
22,4,trapezoid,1927,738,6437,coasting,1.0
22,5,triangle,608,722,20733,coasting,1.0
23,1,pentagon,1365,773,36535,confirmed,1.0
23,2,circle,698,675,51487,confirmed,1.0
23,3,rectangle,368,236,29943,confirmed,1.0
23,4,trapezoid,1932,724,6437,coasting,1.0
23,5,triangle,608,722,20733,coasting,1.0
24,1,pentagon,1365,773,36549,confirmed,1.0
24,2,circle,685,702,49257,confirmed,1.0
24,3,rectangle,368,236,29943,confirmed,1.0
24,4,trapezoid,1936,712,6437,coasting,1.0
24,5,triangle,608,722,20733,coasting,1.0
25,1,pentagon,1365,773,36556,confirmed,1.0
25,2,circle,674,723,46834,confirmed,1.0
25,3,rectangle,368,236,29943,confirmed,1.0
25,4,trapezoid,1939,701,6437,coasting,1.0
25,5,triangle,608,722,20733,coasting,1.0
26,1,pentagon,1365,773,36579,confirmed,1.0
26,2,circle,664,739,44898,confirmed,1.0
26,3,rectangle,368,236,29942,confirmed,1.0
26,4,trapezoid,1943,691,6437,coasting,1.0
26,5,triangle,608,722,20733,coasting,1.0
27,1,pentagon,1365,773,36603,confirmed,1.0
27,2,circle,654,751,42102,confirmed,1.0
27,3,rectangle,368,236,29942,confirmed,1.0
27,4,trapezoid,1946,682,6437,coasting,1.0
27,5,triangle,608,722,20733,coasting,1.0
28,1,pentagon,1365,773,36607,confirmed,1.0
28,2,circle,649,763,32664,confirmed,1.0
28,3,rectangle,368,236,29943,confirmed,1.0
28,4,trapezoid,1948,674,6437,coasting,1.0
28,5,triangle,608,722,20733,coasting,1.0
29,1,pentagon,1365,772,36624,confirmed,1.0
29,2,circle,630,771,36487,confirmed,1.0
29,3,rectangle,368,237,29804,confirmed,1.0
29,4,trapezoid,1951,667,6437,coasting,1.0
29,5,triangle,608,722,20733,coasting,1.0
30,1,pentagon,1365,772,36646,confirmed,1.0
30,2,circle,579,783,32650,confirmed,1.0
30,3,rectangle,367,237,29802,confirmed,1.0
30,4,trapezoid,1953,661,6437,coasting,1.0
30,5,triangle,608,722,20733,coasting,1.0
31,1,pentagon,1365,772,36641,confirmed,1.0
31,2,circle,532,791,32662,confirmed,1.0
31,3,rectangle,367,237,29790,confirmed,1.0
31,4,trapezoid,1955,655,6437,coasting,1.0
31,5,triangle,608,722,20733,coasting,1.0
32,1,pentagon,1365,772,36641,confirmed,1.0
32,2,circle,487,794,32635,confirmed,1.0
32,3,rectangle,367,237,29805,confirmed,1.0
32,4,trapezoid,1957,649,6437,coasting,1.0
32,5,triangle,613,719,16921,confirmed,1.0
33,1,pentagon,1365,771,36471,confirmed,1.0
33,2,circle,444,787,32657,confirmed,1.0
33,3,rectangle,367,237,29805,confirmed,1.0
33,4,trapezoid,1958,645,6437,coasting,1.0
33,5,triangle,615,719,19566,confirmed,0.957
34,1,pentagon,1365,771,36477,confirmed,1.0
34,2,circle,404,777,32661,confirmed,1.0
34,3,rectangle,367,237,29793,confirmed,1.0
34,4,trapezoid,1960,640,6437,coasting,1.0
34,5,triangle,611,721,20945,confirmed,0.958
35,1,pentagon,1365,771,36499,confirmed,1.0
35,2,circle,370,760,32662,confirmed,1.0
35,3,rectangle,367,237,29793,confirmed,1.0
35,4,trapezoid,1961,637,6437,coasting,1.0
35,5,triangle,609,722,20976,confirmed,0.96
36,1,pentagon,1365,771,36536,confirmed,1.0
36,2,circle,344,739,32670,confirmed,1.0
36,3,rectangle,366,237,29869,confirmed,1.0
36,4,trapezoid,1962,633,6437,coasting,1.0
36,5,triangle,610,722,21002,confirmed,0.962
37,1,pentagon,1365,771,36534,confirmed,1.0
37,2,circle,324,716,32659,confirmed,1.0
37,3,rectangle,366,237,29869,confirmed,1.0
37,4,trapezoid,1963,630,6437,coasting,1.0
37,5,triangle,610,722,21046,confirmed,0.963
38,1,pentagon,1365,771,36565,confirmed,1.0
38,2,circle,309,692,32666,confirmed,1.0
38,3,rectangle,366,237,29878,confirmed,1.0
38,5,triangle,610,720,20698,confirmed,0.964
39,1,pentagon,1365,771,36540,confirmed,1.0
39,2,circle,299,668,32659,confirmed,1.0
39,3,rectangle,366,237,29878,confirmed,1.0
39,5,triangle,610,720,20732,confirmed,0.966
40,1,pentagon,1365,770,36665,confirmed,1.0
40,2,circle,292,643,32675,confirmed,1.0
40,3,rectangle,365,237,29828,confirmed,1.0
40,5,triangle,610,720,20748,confirmed,0.967
41,1,pentagon,1365,770,36623,confirmed,1.0
41,2,circle,287,618,32660,confirmed,1.0
41,3,rectangle,365,237,29832,confirmed,1.0
41,5,triangle,610,720,20755,confirmed,0.968
42,1,pentagon,1365,770,36749,confirmed,1.0
42,2,circle,282,593,32653,confirmed,1.0
42,3,rectangle,365,237,29829,confirmed,1.0
42,5,triangle,610,720,20812,confirmed,0.969
43,1,pentagon,1365,769,36538,confirmed,1.0
43,2,circle,278,568,32666,confirmed,1.0
43,3,rectangle,365,237,29825,confirmed,1.0
43,5,triangle,611,720,20826,confirmed,0.97
44,1,pentagon,1365,769,36556,confirmed,1.0
44,2,circle,275,543,32665,confirmed,1.0
44,3,rectangle,364,237,29823,confirmed,1.0
44,5,triangle,611,720,20808,confirmed,0.971
45,1,pentagon,1365,769,36604,confirmed,1.0
45,2,circle,272,518,32675,confirmed,1.0
45,3,rectangle,364,237,29829,confirmed,1.0
45,5,triangle,611,720,20851,confirmed,0.971
46,1,pentagon,1365,769,36656,confirmed,1.0
46,2,circle,272,494,32674,confirmed,1.0
46,3,rectangle,364,237,29823,confirmed,1.0
46,5,triangle,611,720,20879,confirmed,0.972
47,1,pentagon,1365,768,36621,confirmed,1.0
47,2,circle,272,469,32683,confirmed,1.0
47,3,rectangle,363,237,29838,confirmed,1.0
47,5,triangle,612,720,20927,confirmed,0.973
48,1,pentagon,1365,768,36621,confirmed,1.0
48,2,circle,273,444,32632,confirmed,1.0
48,3,rectangle,363,237,29833,confirmed,1.0
48,5,triangle,612,720,20984,confirmed,0.974
49,1,pentagon,1365,768,36660,confirmed,1.0
49,2,circle,272,419,32660,confirmed,1.0
49,3,rectangle,363,235,29027,confirmed,0.978
49,5,triangle,612,720,21014,confirmed,0.974
50,1,pentagon,1365,767,36480,confirmed,1.0
50,2,circle,271,394,32641,confirmed,1.0
50,3,rectangle,365,232,27541,confirmed,0.956
50,5,triangle,612,719,20693,confirmed,0.975
51,1,pentagon,1365,767,36539,confirmed,1.0
51,2,circle,268,370,32650,confirmed,1.0
51,3,rectangle,367,230,26025,confirmed,0.956
51,5,triangle,613,718,20742,confirmed,0.976
52,1,pentagon,1365,767,36580,confirmed,1.0
52,2,circle,259,345,32664,confirmed,1.0
52,3,rectangle,368,228,25006,confirmed,0.956
52,5,triangle,613,718,20785,confirmed,0.976
53,1,pentagon,1365,767,36595,confirmed,1.0
53,2,circle,245,322,32663,confirmed,1.0
53,3,rectangle,369,227,25125,confirmed,0.956
53,5,triangle,613,718,20842,confirmed,0.977
54,1,pentagon,1365,766,36662,confirmed,1.0
54,2,circle,254,287,59257,confirmed,1.0
54,3,rectangle,370,226,25125,coasting,0.956
54,5,triangle,614,718,20848,confirmed,0.977
55,1,pentagon,1364,766,36695,confirmed,1.0
55,2,circle,212,274,32667,confirmed,1.0
55,3,rectangle,367,230,28724,confirmed,0.956
55,5,triangle,614,718,20897,confirmed,0.978
56,1,pentagon,1364,765,36532,confirmed,1.0
56,2,circle,170,269,32658,confirmed,1.0
56,3,rectangle,360,237,29913,confirmed,0.956
56,5,triangle,614,718,20947,confirmed,0.978
57,1,pentagon,1364,765,36576,confirmed,1.0
57,2,circle,133,282,32660,confirmed,1.0
57,3,rectangle,359,239,29942,confirmed,0.956
57,5,triangle,615,718,20990,confirmed,0.978
58,1,pentagon,1364,764,36600,confirmed,1.0
58,2,circle,110,306,32674,confirmed,1.0
58,3,rectangle,358,239,29924,confirmed,0.956
58,5,triangle,615,717,20696,confirmed,0.978
58,6,trapezoid,1887,836,10484,confirmed,0.0
59,1,pentagon,1364,764,36654,confirmed,1.0
59,2,circle,88,324,32756,confirmed,1.0
59,3,rectangle,357,238,29903,confirmed,0.956
59,5,triangle,615,716,20767,confirmed,0.978
59,6,pentagon,1880,797,11656,confirmed,0.0
60,1,pentagon,1364,763,36494,confirmed,1.0
60,2,circle,71,346,31749,confirmed,1.0
60,3,rectangle,357,239,29895,confirmed,0.956
60,5,triangle,616,716,20832,confirmed,0.978
60,6,pentagon,1874,751,12832,confirmed,0.0
61,1,pentagon,1364,763,36571,confirmed,1.0
61,2,circle,62,371,30336,confirmed,1.0
61,3,rectangle,356,239,29820,confirmed,0.956
61,5,triangle,616,716,20842,confirmed,0.978
61,6,trapezoid,1866,703,15210,confirmed,0.0
62,1,pentagon,1364,762,36557,confirmed,1.0
62,2,circle,57,398,28970,confirmed,1.0
62,3,rectangle,356,239,29806,confirmed,0.956
62,5,triangle,617,716,20913,confirmed,0.978
62,6,trapezoid,1858,656,16807,confirmed,0.0
63,1,pentagon,1364,762,36647,confirmed,1.0
63,2,circle,55,426,27595,confirmed,1.0
63,3,rectangle,355,239,29783,confirmed,0.956
63,5,triangle,617,716,20984,confirmed,0.978
63,6,trapezoid,1852,610,17945,confirmed,0.0
64,1,pentagon,1364,761,36434,confirmed,1.0
64,2,circle,55,453,26091,confirmed,1.0
64,3,rectangle,354,239,29828,confirmed,0.956
64,5,triangle,617,714,20697,confirmed,0.978
64,6,trapezoid,1846,567,19298,confirmed,0.0
65,1,pentagon,1364,761,36541,confirmed,1.0
65,2,circle,56,480,24688,confirmed,1.0
65,3,rectangle,354,239,29829,confirmed,0.956
65,5,triangle,618,714,20784,confirmed,0.978
65,6,trapezoid,1843,529,15552,confirmed,0.0
66,1,pentagon,1364,760,36598,confirmed,1.0
66,2,circle,57,507,23678,confirmed,1.0
66,3,rectangle,353,239,29829,confirmed,0.956
66,5,triangle,618,714,20830,confirmed,0.978
66,6,trapezoid,1838,491,22379,confirmed,0.0
67,1,pentagon,1364,759,36438,confirmed,1.0
67,2,circle,57,532,22590,confirmed,1.0
67,3,rectangle,352,239,29854,confirmed,0.956
67,5,triangle,619,714,20887,confirmed,0.978
67,6,pentagon,1833,453,23151,confirmed,0.0
68,1,pentagon,1364,759,36539,confirmed,1.0
68,2,circle,56,557,21507,confirmed,1.0
68,3,rectangle,351,240,29973,confirmed,0.956
68,5,triangle,619,714,20959,confirmed,0.978
68,6,rectangle,1828,416,24456,confirmed,0.0
69,1,pentagon,1364,759,36588,confirmed,1.0
69,2,circle,54,581,20372,confirmed,1.0
69,3,rectangle,351,240,29976,confirmed,0.956
69,5,triangle,620,712,20685,confirmed,0.978
