frame,track_id,shape,cx,cy,area,state,confidence
0,1,pentagon,1365,773,36186,confirmed,1.0
0,2,circle,1057,191,32438,confirmed,1.0
0,3,rectangle,370,236,29861,confirmed,1.0
0,4,trapezoid,1738,392,27091,confirmed,1.0
0,5,triangle,608,722,20563,confirmed,1.0
1,1,pentagon,1365,773,36186,confirmed,1.0
1,2,circle,1023,186,32434,confirmed,1.0
1,3,rectangle,370,236,29861,confirmed,1.0
1,4,trapezoid,1746,422,27101,confirmed,1.0
1,5,triangle,608,722,20563,confirmed,1.0
2,1,pentagon,1365,773,36186,confirmed,1.0
2,2,circle,977,184,32445,confirmed,1.0
2,3,rectangle,370,236,29861,confirmed,1.0
2,4,trapezoid,1756,461,27018,confirmed,1.0
2,5,triangle,608,722,20563,confirmed,1.0
3,1,pentagon,1365,773,36186,confirmed,1.0
3,2,circle,931,188,32382,confirmed,1.0
3,3,rectangle,370,236,29861,confirmed,1.0
3,4,trapezoid,1767,502,27045,confirmed,1.0
3,5,triangle,608,722,20563,confirmed,1.0
4,1,pentagon,1365,773,36186,confirmed,1.0
4,2,circle,888,198,32389,confirmed,1.0
4,3,rectangle,370,236,29861,confirmed,1.0
4,4,trapezoid,1778,541,27152,confirmed,1.0
4,5,triangle,608,722,20563,confirmed,1.0
5,1,pentagon,1365,773,36186,confirmed,1.0
5,2,circle,855,215,32398,confirmed,1.0
5,3,rectangle,370,236,29861,confirmed,1.0
5,4,trapezoid,1787,580,27061,confirmed,1.0
5,5,triangle,608,722,20563,confirmed,1.0
6,1,pentagon,1365,773,36186,confirmed,1.0
6,2,circle,831,236,32410,confirmed,1.0
6,3,rectangle,370,236,29861,confirmed,1.0
6,4,trapezoid,1798,617,27139,confirmed,1.0
6,5,triangle,608,722,20563,confirmed,1.0
7,1,pentagon,1365,773,36185,confirmed,1.0
7,2,circle,810,259,32379,confirmed,1.0
7,3,rectangle,370,236,29861,confirmed,1.0
7,4,trapezoid,1811,655,26772,confirmed,1.0
7,5,triangle,608,722,20563,confirmed,1.0
8,1,pentagon,1365,773,36186,confirmed,1.0
8,2,circle,795,283,32411,confirmed,1.0
8,3,rectangle,370,236,29861,confirmed,1.0
8,4,trapezoid,1823,691,25513,confirmed,1.0
8,5,triangle,608,722,20563,confirmed,1.0
9,1,pentagon,1365,773,36186,confirmed,1.0
9,2,circle,781,307,32382,confirmed,1.0
9,3,rectangle,370,236,29861,confirmed,1.0
9,4,trapezoid,1834,728,23357,confirmed,1.0
9,5,triangle,608,722,20563,confirmed,1.0
10,1,pentagon,1365,773,36186,confirmed,1.0
10,2,circle,767,331,32380,confirmed,1.0
10,3,rectangle,370,236,29861,confirmed,1.0
10,4,trapezoid,1844,765,21728,confirmed,1.0
10,5,triangle,608,722,20563,confirmed,1.0
11,1,pentagon,1365,773,36186,confirmed,1.0
11,2,circle,755,355,32385,confirmed,1.0
11,3,rectangle,370,236,29861,confirmed,1.0
11,4,trapezoid,1851,802,19883,confirmed,1.0
11,5,triangle,608,722,20563,confirmed,1.0
12,1,pentagon,1365,773,36190,confirmed,1.0
12,2,circle,746,379,32399,confirmed,1.0
12,3,rectangle,370,236,29861,confirmed,1.0
12,4,trapezoid,1858,839,17920,confirmed,1.0
12,5,triangle,608,722,20563,confirmed,1.0
13,1,pentagon,1365,773,36186,confirmed,1.0
13,2,circle,738,404,32381,confirmed,1.0
13,3,rectangle,370,236,29861,confirmed,1.0
13,4,trapezoid,1864,876,15529,confirmed,1.0
13,5,triangle,608,722,20564,confirmed,1.0
14,1,pentagon,1365,773,36189,confirmed,1.0
14,2,circle,731,428,32430,confirmed,1.0
14,3,rectangle,370,236,29861,confirmed,1.0
14,4,trapezoid,1871,900,13345,confirmed,1.0
14,5,triangle,608,722,20568,confirmed,1.0
15,1,pentagon,1365,773,36194,confirmed,1.0
15,2,circle,728,453,32358,confirmed,1.0
15,3,rectangle,370,236,29861,confirmed,1.0
15,4,trapezoid,1877,897,11414,confirmed,1.0
15,5,triangle,608,722,20578,confirmed,1.0
16,1,pentagon,1365,773,36197,confirmed,1.0
16,2,circle,725,478,32361,confirmed,1.0
16,3,rectangle,370,236,29861,confirmed,1.0
16,4,trapezoid,1884,873,9316,confirmed,1.0
16,5,triangle,608,722,20583,confirmed,1.0
17,1,pentagon,1365,773,36206,confirmed,1.0
17,2,circle,723,503,32401,confirmed,1.0
17,3,rectangle,370,236,29861,confirmed,1.0
17,4,trapezoid,1891,832,7059,confirmed,1.0
17,5,triangle,608,722,20586,confirmed,1.0
18,1,pentagon,1365,773,36203,confirmed,1.0
18,2,circle,723,528,32412,confirmed,1.0
18,3,rectangle,370,236,29861,confirmed,1.0
18,4,trapezoid,1898,809,7059,coasting,1.0
18,5,triangle,608,722,20592,confirmed,1.0
19,1,pentagon,1365,773,36208,confirmed,1.0
19,2,circle,724,552,32413,confirmed,1.0
19,3,rectangle,370,236,29861,confirmed,1.0
19,4,trapezoid,1904,789,7059,coasting,1.0
19,5,triangle,608,722,20593,confirmed,1.0
20,1,pentagon,1365,773,36212,confirmed,1.0
20,2,circle,726,577,32394,confirmed,1.0
20,3,rectangle,370,236,29861,confirmed,1.0
20,4,trapezoid,1910,770,7059,coasting,1.0
20,5,triangle,608,722,20590,confirmed,1.0
21,1,pentagon,1365,773,36222,confirmed,1.0
21,2,circle,728,602,32387,confirmed,1.0
21,3,rectangle,368,236,29861,confirmed,1.0
21,4,trapezoid,1915,753,7059,coasting,1.0
21,5,triangle,608,723,20490,confirmed,1.0
22,1,pentagon,1365,773,36232,confirmed,1.0
